row_id,airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
249451,Air_India,Bangalore,Early_Morning,one,Night,Mumbai,Business,16.0,11,54684
110868,Air_India,Bangalore,Evening,one,Night,Hyderabad,Economy,6.25,12,13054
168963,GO_FIRST,Hyderabad,Night,one,Morning,Bangalore,Economy,10.33,34,6256
149799,Indigo,Kolkata,Evening,one,Night,Chennai,Economy,5.33,21,5280
83543,Vistara,Mumbai,Morning,two_or_more,Night,Chennai,Economy,11.17,45,8130
91596,AirAsia,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,9.75,38,4112
147159,Indigo,Kolkata,Evening,zero,Night,Hyderabad,Economy,2.17,42,2750
35379,Indigo,Delhi,Night,one,Early_Morning,Chennai,Economy,10.5,1,9887
90951,GO_FIRST,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,8.83,35,4028
266617,Air_India,Kolkata,Early_Morning,one,Night,Mumbai,Business,15.17,39,50271
54167,Vistara,Mumbai,Morning,one,Evening,Bangalore,Economy,8.75,10,8148
81567,Indigo,Mumbai,Early_Morning,zero,Morning,Chennai,Economy,2.0,32,3633
52867,Vistara,Mumbai,Evening,one,Morning,Bangalore,Economy,16.08,1,13182
246896,Vistara,Bangalore,Morning,zero,Afternoon,Delhi,Business,2.92,28,32923
267085,Air_India,Kolkata,Evening,zero,Night,Mumbai,Business,3.58,46,31982
123019,Indigo,Kolkata,Early_Morning,one,Afternoon,Delhi,Economy,6.75,23,6356
199347,Vistara,Chennai,Morning,one,Evening,Kolkata,Economy,8.83,17,14014
77958,Vistara,Mumbai,Morning,two_or_more,Night,Chennai,Economy,9.5,6,15192
85586,Indigo,Bangalore,Afternoon,one,Late_Night,Delhi,Economy,10.33,10,10271
190308,Air_India,Chennai,Morning,one,Evening,Mumbai,Economy,8.08,23,5617
273654,Air_India,Kolkata,Night,one,Evening,Chennai,Business,22.5,25,55983
169021,Indigo,Hyderabad,Evening,one,Night,Bangalore,Economy,4.42,35,2861
260501,Vistara,Bangalore,Morning,one,Night,Chennai,Business,14.58,35,44280
283722,Vistara,Hyderabad,Early_Morning,one,Evening,Kolkata,Business,11.25,18,51819
129214,Air_India,Kolkata,Morning,two_or_more,Night,Mumbai,Economy,11.75,13,12054
131935,Air_India,Kolkata,Night,one,Evening,Mumbai,Economy,21.5,29,5102
91086,Indigo,Bangalore,Night,one,Late_Night,Delhi,Economy,5.83,36,3288
212618,Vistara,Delhi,Night,one,Morning,Bangalore,Business,11.0,10,54777
34882,Vistara,Delhi,Morning,one,Night,Hyderabad,Economy,9.25,46,5772
64886,AirAsia,Mumbai,Afternoon,two_or_more,Evening,Kolkata,Economy,6.17,21,2836
268090,Vistara,Kolkata,Afternoon,one,Night,Bangalore,Business,8.0,14,71058
295724,Vistara,Chennai,Early_Morning,one,Evening,Bangalore,Business,12.25,46,44144
113388,Air_India,Bangalore,Morning,one,Night,Hyderabad,Economy,35.75,32,6500
200841,Indigo,Chennai,Late_Night,one,Morning,Kolkata,Economy,6.92,32,4079
84680,Indigo,Bangalore,Early_Morning,one,Morning,Delhi,Economy,6.75,5,9798
27760,Indigo,Delhi,Early_Morning,one,Afternoon,Kolkata,Economy,6.83,44,3754
54205,Air_India,Mumbai,Night,one,Night,Bangalore,Economy,22.58,10,9201
68964,Vistara,Mumbai,Night,one,Morning,Kolkata,Economy,9.83,42,5949
178979,Indigo,Hyderabad,Morning,one,Afternoon,Chennai,Economy,3.92,33,1543
127421,Air_India,Kolkata,Afternoon,one,Night,Delhi,Economy,8.25,49,5467
21724,Vistara,Delhi,Afternoon,one,Morning,Kolkata,Economy,18.17,11,12990
71541,Air_India,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,16.5,11,7584
75840,Vistara,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,12.42,39,5309
227263,Air_India,Mumbai,Morning,one,Night,Delhi,Business,11.92,24,39847
133875,AirAsia,Kolkata,Afternoon,one,Late_Night,Mumbai,Economy,11.08,40,3379
172674,Air_India,Hyderabad,Morning,one,Evening,Kolkata,Economy,30.25,19,7362
93653,GO_FIRST,Bangalore,Evening,one,Late_Night,Delhi,Economy,4.92,48,3319
241858,Vistara,Mumbai,Evening,one,Night,Chennai,Business,24.5,7,64173
238634,Air_India,Mumbai,Early_Morning,one,Night,Hyderabad,Business,15.58,11,45693
92401,Vistara,Bangalore,Evening,one,Morning,Delhi,Economy,13.08,42,3496
184632,Vistara,Chennai,Early_Morning,one,Night,Delhi,Economy,16.0,31,4971
171777,Indigo,Hyderabad,Night,one,Early_Morning,Kolkata,Economy,7.67,12,6207
10002,GO_FIRST,Delhi,Morning,one,Night,Bangalore,Economy,11.67,1,7424
272497,Vistara,Kolkata,Morning,one,Night,Hyderabad,Business,10.67,47,67497
172525,Vistara,Hyderabad,Morning,one,Evening,Kolkata,Economy,9.25,18,6170
179933,Indigo,Hyderabad,Night,zero,Night,Chennai,Economy,1.25,43,1788
87007,AirAsia,Bangalore,Evening,two_or_more,Late_Night,Delhi,Economy,8.75,17,3467
5626,Air_India,Delhi,Morning,one,Morning,Mumbai,Economy,22.25,29,3855
105593,Indigo,Bangalore,Afternoon,one,Evening,Kolkata,Economy,6.58,22,5178
157416,Indigo,Hyderabad,Afternoon,zero,Evening,Delhi,Economy,2.25,41,3611
46410,GO_FIRST,Mumbai,Evening,one,Late_Night,Delhi,Economy,6.83,19,5942
159782,GO_FIRST,Hyderabad,Morning,one,Night,Mumbai,Economy,9.75,12,4452
80853,Vistara,Mumbai,Night,one,Night,Chennai,Economy,22.33,27,4348
19331,Vistara,Delhi,Morning,one,Night,Bangalore,Economy,9.25,46,4152
254906,Air_India,Bangalore,Evening,one,Evening,Kolkata,Business,25.83,33,60508
39868,SpiceJet,Delhi,Evening,zero,Night,Chennai,Economy,2.83,31,2637
234881,Vistara,Mumbai,Evening,one,Morning,Kolkata,Business,13.83,11,64285
237783,Air_India,Mumbai,Afternoon,one,Night,Kolkata,Business,6.33,47,49725
203092,Indigo,Chennai,Evening,one,Night,Hyderabad,Economy,6.75,8,4202
157186,AirAsia,Hyderabad,Evening,one,Late_Night,Delhi,Economy,9.58,39,5409
94096,Indigo,Bangalore,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,1,18881
27037,Air_India,Delhi,Night,one,Morning,Kolkata,Economy,14.17,40,4700
212473,Vistara,Delhi,Morning,one,Evening,Bangalore,Business,7.58,8,57129
48583,Air_India,Mumbai,Early_Morning,one,Evening,Delhi,Economy,11.67,29,6773
144476,Indigo,Kolkata,Evening,one,Night,Hyderabad,Economy,7.0,19,7379
161215,Vistara,Hyderabad,Early_Morning,one,Afternoon,Mumbai,Economy,8.17,21,4660
218612,Vistara,Delhi,Morning,one,Evening,Kolkata,Business,10.42,42,59929
249568,Vistara,Bangalore,Early_Morning,one,Night,Mumbai,Business,13.25,12,69244
98960,Vistara,Bangalore,Evening,one,Afternoon,Mumbai,Economy,18.58,29,4792
223393,Vistara,Delhi,Evening,one,Evening,Chennai,Business,24.92,25,60232
155944,Air_India,Hyderabad,Night,one,Night,Delhi,Economy,22.17,30,4702
273889,Air_India,Kolkata,Morning,one,Morning,Chennai,Business,22.5,30,55983
146772,Vistara,Kolkata,Night,one,Afternoon,Hyderabad,Economy,16.17,38,10301
152986,Indigo,Hyderabad,Morning,zero,Morning,Delhi,Economy,2.25,7,6133
265977,Air_India,Kolkata,Afternoon,one,Morning,Mumbai,Business,17.58,30,50271
150832,Vistara,Kolkata,Early_Morning,one,Evening,Chennai,Economy,9.17,31,6009
28589,Vistara,Delhi,Evening,two_or_more,Morning,Kolkata,Economy,16.5,48,8794
5277,GO_FIRST,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.75,27,5954
110637,GO_FIRST,Bangalore,Early_Morning,one,Night,Hyderabad,Economy,14.5,10,13498
277118,Air_India,Hyderabad,Early_Morning,one,Afternoon,Delhi,Business,6.92,47,47586
164399,Vistara,Hyderabad,Afternoon,one,Evening,Mumbai,Economy,5.67,41,5060
146049,Vistara,Kolkata,Night,one,Early_Morning,Hyderabad,Economy,11.25,32,7572
289871,Vistara,Chennai,Morning,one,Evening,Delhi,Business,8.33,41,57920
291835,Air_India,Chennai,Night,one,Morning,Mumbai,Business,14.92,25,49553
151088,AirAsia,Kolkata,Early_Morning,zero,Morning,Chennai,Economy,2.33,34,2966
127255,Indigo,Kolkata,Afternoon,one,Night,Delhi,Economy,7.08,48,5185
118329,Air_India,Bangalore,Evening,one,Afternoon,Chennai,Economy,18.83,34,6024
119986,Vistara,Kolkata,Evening,one,Morning,Delhi,Economy,16.08,4,14364
254235,Air_India,Bangalore,Evening,one,Morning,Kolkata,Business,15.17,23,60508
296744,Vistara,Chennai,Morning,one,Evening,Kolkata,Business,7.33,20,55377
145142,Vistara,Kolkata,Morning,one,Morning,Hyderabad,Economy,23.42,25,5632
277326,Vistara,Hyderabad,Afternoon,one,Night,Mumbai,Business,8.58,3,71979
1614,Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,15.58,10,15720
63346,Air_India,Mumbai,Evening,one,Evening,Kolkata,Economy,25.17,12,11508
159299,Vistara,Hyderabad,Evening,one,Morning,Mumbai,Economy,16.08,8,10069
253894,Air_India,Bangalore,Early_Morning,one,Afternoon,Kolkata,Business,8.33,18,60508
122098,Air_India,Kolkata,Afternoon,zero,Evening,Delhi,Economy,2.5,18,4631
64154,Indigo,Mumbai,Early_Morning,zero,Morning,Kolkata,Economy,2.58,17,4499
259670,Vistara,Bangalore,Evening,one,Morning,Chennai,Business,14.42,19,44280
246335,Air_India,Bangalore,Early_Morning,zero,Morning,Delhi,Business,2.75,21,32923
77361,Vistara,Mumbai,Morning,two_or_more,Evening,Chennai,Economy,31.25,1,19235
23207,GO_FIRST,Delhi,Afternoon,one,Night,Kolkata,Economy,8.08,19,5954
196653,Vistara,Chennai,Early_Morning,one,Afternoon,Bangalore,Economy,9.0,36,11110
252858,Air_India,Bangalore,Night,one,Evening,Kolkata,Business,22.17,2,62748
213907,Vistara,Delhi,Morning,one,Evening,Bangalore,Business,8.92,25,57017
288039,Vistara,Chennai,Night,one,Evening,Delhi,Business,20.42,9,65872
144945,Vistara,Kolkata,Morning,two_or_more,Afternoon,Hyderabad,Economy,25.83,23,7834
181505,Indigo,Chennai,Early_Morning,one,Morning,Delhi,Economy,5.33,11,7877
254386,Vistara,Bangalore,Early_Morning,one,Evening,Kolkata,Business,12.58,25,62188
215578,Vistara,Delhi,Night,one,Morning,Bangalore,Business,13.08,45,54777
166476,AirAsia,Hyderabad,Evening,one,Night,Bangalore,Economy,5.58,12,4451
